//X Y Z R G B Intensity
12.46624947 -9.32400036 -0.28775001 192 190 203 1346
12.46599960 -9.32374954 -0.28475001 146 142 157 996
12.46300030 -9.32149982 -0.27974999 146 142 157 800
12.46000004 -9.31925011 -0.27050000 94 85 104 764
12.45950031 -9.31875038 -0.26650000 94 85 104 789
12.45950031 -9.31875038 -0.26550001 94 82 106 832
12.45400047 -9.31474972 -0.25350001 93 82 112 835
12.45425034 -9.31474972 -0.25150001 93 82 114 789
12.45250034 -9.31350040 -0.24750000 93 82 114 867
12.44750023 -9.31000042 -0.23525000 95 86 113 1128
12.44524956 -9.30825043 -0.22925000 102 97 119 11303
12.44649982 -9.30900002 -0.22825000 102 97 119 18232
12.44499969 -9.30799961 -0.22724999 102 97 119 22646
12.44524956 -9.30825043 -0.22624999 153 150 167 24700
12.44425011 -9.30725002 -0.22525001 153 150 167 25078
12.44400024 -9.30725002 -0.22425000 153 150 167 24885
12.44350052 -9.30675030 -0.22325000 153 150 167 24603
12.44350052 -9.30700016 -0.22125000 153 150 167 18696
12.44324970 -9.30675030 -0.22025000 192 190 203 13464
12.44250011 -9.30599976 -0.21924999 192 190 203 8460
12.44299984 -9.30650043 -0.21825001 192 190 203 4217
12.47200012 -9.32950020 -0.30350000 128 133 137 19357
12.47150040 -9.32925034 -0.30250001 128 133 137 22096
12.47125053 -9.32900047 -0.30149999 128 133 137 23607
12.47099972 -9.32874966 -0.30050001 128 133 137 23864
12.47074986 -9.32849979 -0.29925001 128 133 137 23860
12.46924973 -9.32750034 -0.29824999 171 174 181 24760
12.46949959 -9.32750034 -0.29725000 171 174 181 23946
12.46899986 -9.32724953 -0.29624999 171 174 181 24571
12.46850014 -9.32699966 -0.29525000 171 174 181 23346
12.46825027 -9.32674980 -0.29425001 171 174 181 21232
12.46774960 -9.32625008 -0.29225001 192 190 203 14546
12.46675014 -9.32575035 -0.29124999 192 190 203 9860
12.46675014 -9.32550049 -0.29025000 192 190 203 5625
12.46700001 -9.32575035 -0.28825000 192 190 203 2182
12.46599960 -9.32499981 -0.28725001 192 190 203 1557
12.46325016 -9.32299995 -0.28025001 146 142 157 778
12.46024990 -9.32075024 -0.26925001 94 85 104 821
12.45750046 -9.31849957 -0.26400000 94 82 106 753
12.45674992 -9.31799984 -0.26100001 94 82 106 771
12.45699978 -9.31824970 -0.25999999 94 82 106 767
12.45499992 -9.31674957 -0.25700000 93 82 112 789
12.45374966 -9.31575012 -0.25400001 93 82 112 857
12.45324993 -9.31550026 -0.25099999 93 82 114 764
12.44974995 -9.31299973 -0.24075000 98 89 120 953
12.44999981 -9.31299973 -0.23999999 95 86 113 1010
12.44775009 -9.31149960 -0.23700000 95 86 113 1089
12.44674969 -9.31050014 -0.23500000 95 86 113 1317
12.44750023 -9.31124973 -0.23400000 95 86 113 1650
12.44524956 -9.30949974 -0.22875001 102 97 119 21185
12.44575024 -9.30974960 -0.22800000 102 97 119 24335
12.44474983 -9.30900002 -0.22700000 153 150 167 25871
12.44499969 -9.30924988 -0.22600000 153 150 167 25871
12.44375038 -9.30850029 -0.22475000 153 150 167 25267
12.44324970 -9.30799961 -0.22375000 153 150 167 25667
12.44299984 -9.30774975 -0.22274999 153 150 167 25367
12.44274998 -9.30774975 -0.22175001 153 150 167 23207
12.44099998 -9.30624962 -0.21875000 192 190 203 9989
12.44149971 -9.30650043 -0.21675000 192 190 203 2864
12.47224998 -9.33100033 -0.30500001 143 146 153 14360
12.47150040 -9.33024979 -0.30300000 143 146 153 23353
12.47000027 -9.32925034 -0.30199999 143 146 153 24667
12.47000027 -9.32925034 -0.30100000 143 146 153 25046
12.47025013 -9.32950020 -0.30000001 143 146 153 24035
12.46949959 -9.32874966 -0.29899999 202 202 214 23603
12.46875000 -9.32824993 -0.29775000 202 202 214 24389
12.46875000 -9.32824993 -0.29675001 202 202 214 24300
12.46875000 -9.32824993 -0.29475001 202 202 214 23017
12.46700001 -9.32699966 -0.29075000 231 229 243 11328
12.46650028 -9.32674980 -0.28975001 231 229 243 7253
12.46475029 -9.32524967 -0.28375000 195 191 208 1064
12.46274948 -9.32400036 -0.28275001 195 191 208 946
12.46274948 -9.32374954 -0.27974999 195 191 208 842
12.46224976 -9.32349968 -0.27875000 143 134 155 817
12.45874977 -9.32075024 -0.26949999 107 95 117 821
12.45699978 -9.31949997 -0.26350001 86 73 99 732
12.45574951 -9.31849957 -0.25950000 92 81 113 853
12.45275021 -9.31624985 -0.25350001 92 81 113 903
12.45250034 -9.31599998 -0.24950001 88 77 111 864
12.44950008 -9.31375027 -0.24450000 92 82 116 978
12.44999981 -9.31424999 -0.24349999 92 82 116 950
12.44524956 -9.31050014 -0.23225001 147 142 165 5496
12.44600010 -9.31124973 -0.23125000 147 142 165 11114
12.44575024 -9.31099987 -0.23025000 147 142 165 17135
12.44499969 -9.31050014 -0.22825000 147 142 165 24335
12.44449997 -9.31000042 -0.22724999 147 142 165 25974
12.44474983 -9.31025028 -0.22624999 210 205 225 25871
12.44375038 -9.30949974 -0.22525001 210 205 225 25271
12.44350052 -9.30924988 -0.22425000 210 205 225 25467
12.44299984 -9.30900002 -0.22125000 210 205 225 22960
12.44225025 -9.30825043 -0.22025000 239 237 251 20385
12.44124985 -9.30749989 -0.21924999 239 237 251 15767
12.44050026 -9.30725002 -0.21825001 239 237 251 10207
12.47125053 -9.33150005 -0.30649999 110 118 121 8889
12.47074986 -9.33125019 -0.30350000 143 146 153 24125
12.46975040 -9.33049965 -0.30225000 143 146 153 25335
12.46949959 -9.33024979 -0.30125001 143 146 153 25432
12.46975040 -9.33049965 -0.30024999 143 146 153 25535
12.46850014 -9.32950020 -0.29925001 143 146 153 25932
12.46924973 -9.32999992 -0.29824999 202 202 214 26142
12.46899986 -9.32975006 -0.29725000 202 202 214 26035
12.46825027 -9.32925034 -0.29624999 202 202 214 25235
12.46675014 -9.32800007 -0.29525000 202 202 214 24296
12.46724987 -9.32849979 -0.29425001 202 202 214 23428
12.46724987 -9.32849979 -0.29324999 202 202 214 22621
12.46624947 -9.32775021 -0.29124999 231 229 243 18021
12.46624947 -9.32775021 -0.29025000 231 229 243 13553
12.46475029 -9.32674980 -0.28924999 231 229 243 8971
12.46549988 -9.32724953 -0.28825000 231 229 243 5396
12.46525002 -9.32699966 -0.28725001 231 229 243 3117
12.46475029 -9.32674980 -0.28525001 195 191 208 1542
12.46274948 -9.32524967 -0.28224999 195 191 208 967
