//U V R G B Intensity
-0.02544243 0.03706987 72 71 102 1225
-0.02640663 0.03707628 72 71 102 1278
-0.02791064 0.03712611 72 71 102 1328
-0.02941515 0.03717590 72 71 102 1346
-0.03010456 0.03711559 102 102 128 1442
-0.03090948 0.03713600 102 102 128 1567
-0.03209538 0.03711380 102 102 128 1682
-0.03570412 0.03717008 102 102 128 4500
-0.03596921 0.03714706 102 102 128 8485
-0.03730462 0.03722083 102 102 128 13135
-0.03784453 0.03716455 147 148 166 18664
-0.03871955 0.03718791 147 148 166 21803
-0.03957754 0.03720366 147 148 166 21421
0.04446982 0.03528952 126 114 136 27153
0.04275340 0.03532068 126 114 136 27057
0.04205418 0.03535038 126 114 136 27060
0.04085178 0.03533585 126 114 136 26807
0.03972828 0.03532826 126 114 136 25992
0.03908217 0.03536263 126 114 136 24935
0.03750805 0.03541542 181 173 194 21767
0.03646442 0.03541485 181 173 194 17942
0.03503982 0.03547160 181 173 194 13235
0.03289899 0.03546575 181 173 194 5785
0.03190850 0.03546985 181 173 194 3896
0.03166971 0.03544920 181 173 194 2639
0.03012239 0.03550429 181 173 194 2103
0.02966188 0.03545504 181 173 194 1774
0.02494715 0.03549609 167 164 185 1267
0.02384993 0.03559079 167 164 185 1171
0.01770114 0.03557935 111 112 132 989
0.01542781 0.03556185 111 112 132 1146
0.01221709 0.03565310 76 81 100 932
0.00921833 0.03566271 76 81 100 975
0.00623647 0.03566526 76 81 100 1135
0.00301595 0.03574654 71 76 98 1017
0.00157481 0.03571103 71 76 98 1021
0.00127314 0.03577567 71 76 98 1003
-0.00265321 0.03580403 71 76 98 1107
-0.00369733 0.03580342 71 76 98 1100
-0.00679208 0.03581399 75 74 106 1239
-0.00749127 0.03584370 75 74 106 1142
-0.00912778 0.03588182 75 74 106 1125
-0.00990645 0.03580490 75 74 106 1117
-0.01220608 0.03588508 75 74 106 1192
-0.01426701 0.03588625 68 67 101 1114
-0.01630154 0.03598938 68 67 101 1153
-0.01652331 0.03596105 68 67 101 1114
-0.01898224 0.03592724 68 67 101 1253
-0.02227239 0.03601152 72 71 102 1196
-0.02245807 0.03599548 72 71 102 1192
-0.02473131 0.03607770 72 71 102 1203
-0.02520882 0.03603601 72 71 102 1250
-0.02663300 0.03599316 72 71 102 1260
-0.02869443 0.03599428 72 71 102 1550
-0.03046345 0.03612082 102 102 128 1671
-0.03113585 0.03605289 102 102 128 1992
-0.03215315 0.03605463 102 102 128 2500
-0.03392268 0.03618105 102 102 128 3624
-0.03456876 0.03611550 102 102 128 6878
-0.03529428 0.03614289 102 102 128 12035
-0.03619559 0.03606395 102 102 128 17703
-0.03769031 0.03612372 102 102 128 22664
-0.03857513 0.03613711 147 148 166 25574
-0.03910521 0.03609080 147 148 166 25653
-0.04004313 0.03609952 147 148 166 24625
0.04447449 0.03434464 126 114 136 27942
0.04380211 0.03437670 126 114 136 28035
0.04246667 0.03435048 126 114 136 27321
0.04101526 0.03440487 126 114 136 27578
0.04055530 0.03435568 126 114 136 26978
0.03900744 0.03441071 126 114 136 26389
0.03785764 0.03440081 126 114 136 24367
0.03718524 0.03443287 181 173 194 22046
0.03569052 0.03449264 181 173 194 19853
0.03475313 0.03450140 181 173 194 15939
0.03349710 0.03448216 181 173 194 11475
0.03255920 0.03449088 181 173 194 8435
0.03114436 0.03455767 181 173 194 5510
0.03114427 0.03445796 181 173 194 3503
